               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047203,            0.023929,            0.056082,             0.32568,            0.029422,            0.014246,           0.0034403,            0.096389,            0.033229,             0.19591,            0.070217,           0.0033092,           0.0033092
                   1,            0.039684,            0.020414,            0.046616,           0.0031289,            0.090535,           0.0023222,          0.00079125,             0.08986,            0.055982,             0.31491,            0.040217,           0.0066423,           0.0066423
                   2,            0.038071,             0.01985,              0.0371,             0.23487,             0.37981,             0.25628,             0.13116,            0.038913,            0.026752,            0.075872,            0.010216,           0.0099748,           0.0099748
                   3,             0.03487,            0.019015,             0.02982,             0.59054,             0.65769,               0.628,              0.4117,            0.028767,            0.022785,            0.025245,           0.0099976,           0.0099976,           0.0099976
                   4,            0.032382,            0.018503,            0.022374,             0.74976,             0.72187,             0.74999,             0.49704,            0.025518,            0.013151,            0.016273,           0.0099976,           0.0099976,           0.0099976
                   5,            0.030703,            0.018061,            0.018306,             0.75513,             0.67512,             0.76088,              0.5245,            0.023201,            0.012379,            0.017167,           0.0099957,           0.0099957,           0.0099957
                   6,            0.029863,             0.01739,            0.015526,             0.61638,             0.66255,             0.70657,             0.46064,            0.028577,            0.014057,            0.030095,           0.0099932,           0.0099932,           0.0099932
                   7,            0.028208,            0.016023,            0.011977,             0.79553,             0.68312,             0.76622,              0.5284,            0.022372,            0.011975,            0.024143,           0.0099902,           0.0099902,           0.0099902
                   8,            0.026927,            0.015968,            0.010572,             0.84544,             0.81489,             0.88457,             0.66923,            0.021708,              0.0101,           0.0076309,           0.0099867,           0.0099867,           0.0099867
                   9,            0.025385,            0.014726,           0.0099246,             0.80702,             0.88899,             0.90372,             0.64079,            0.021814,            0.010963,             0.01702,           0.0099826,           0.0099826,           0.0099826
                  10,            0.026005,            0.015432,           0.0089451,             0.75791,               0.877,             0.90335,             0.68199,              0.0202,           0.0098764,           0.0099607,            0.009978,            0.009978,            0.009978
                  11,            0.024748,            0.014996,           0.0080544,             0.84552,             0.79539,             0.85331,             0.59087,            0.024166,             0.01139,            0.010327,           0.0099729,           0.0099729,           0.0099729
                  12,            0.024457,            0.014631,           0.0088097,             0.87074,             0.89097,             0.93287,             0.71144,            0.019187,           0.0099505,           0.0051184,           0.0099672,           0.0099672,           0.0099672
                  13,             0.02298,            0.014403,           0.0084458,             0.82721,             0.94587,             0.94135,             0.70915,            0.019655,           0.0095696,           0.0039519,            0.009961,            0.009961,            0.009961
                  14,            0.023435,            0.014081,            0.006663,             0.76136,             0.51818,             0.61157,             0.45712,            0.027373,             0.01886,            0.076094,           0.0099542,           0.0099542,           0.0099542
                  15,            0.023033,            0.014023,            0.006441,              0.8375,             0.87779,             0.92024,             0.73995,            0.017531,           0.0092082,           0.0066884,           0.0099469,           0.0099469,           0.0099469
